"Sample","IPRES"
"SRR3184280",0.455071690990466
"SRR3184281",0.412412820732972
"SRR3184282",0.397221570584818
"SRR3184283",0.478046092350272
"SRR3184285",0.481362942043121
"SRR3184286",0.468675370417586
"SRR3184289",0.575281268945858
"SRR3184291",0.404300550627792
"SRR3184293",0.459474980309155
"SRR3184298",0.474775486581078
"SRR3184299",0.428892548481026
"SRR3184300",0.499257239973938
"SRR3184304",0.435796036652006
"SRR3184305",0.313867289979883
"SRR3184306",0.437735727397826
"SRR3184279",0.526381201566008
"SRR3184284",0.467834694981606
"SRR3184287",0.590543093668494
"SRR3184288",0.509614451794901
"SRR3184290",0.568254696802738
"SRR3184292",0.518236050308124
"SRR3184294",0.405464326906706
"SRR3184295",0.568535286538519
"SRR3184296",0.536702387999006
"SRR3184297",0.401245727728477
"SRR3184301",0.457714336583983
"SRR3184302",0.513252740922392
"SRR3184303",0.562003130022246
